id,lat,lon,name
195,47.0417130,28.8405768,Strada Petricani
196,47.0418288,28.8401455,Strada Petricani
197,47.0420531,28.8391780,Strada Petricani
198,47.0428245,28.8355035,Strada Petricani
199,47.0433179,28.8342734,Strada Petricani
200,47.0379960,28.8183933,Strada Henri Coandă
201,47.0379714,28.8168218,Strada Bucuriei
202,47.0380944,28.8141227,Strada Henri Coandă
203,47.0380686,28.8110943,Strada Calea Ieșilor
204,47.0383166,28.7943317,Strada 27 Martie 1918
205,47.0381716,28.7942210,Strada 27 Martie 1918
206,47.0380369,28.7942010,Strada 27 Martie 1918
207,47.0379585,28.7942093,Strada 27 Martie 1918
208,47.0359660,28.7945160,Strada 27 Martie 1918
209,47.0357550,28.7945310,Strada 27 Martie 1918
210,47.0353636,28.7945864,Strada 27 Martie 1918
211,47.0351036,28.7945548,Strada 27 Martie 1918
212,47.0349210,28.7943800,Strada Ion Pelivan
213,47.0337197,28.7931457,Strada Ion Pelivan
214,47.0330895,28.7924834,Strada Ion Pelivan
215,47.0334458,28.7917370,Strada Nicolae Costin
216,47.0346009,28.7893815,Strada Ion Luca Caragiale
217,47.0356541,28.7872240,Strada Nicolae Costin
218,47.0371088,28.7842754,Strada Nicolae Costin
219,47.0393907,28.7795466,Strada Nicolae Costin
220,47.0394743,28.7789696,Strada Nicolae Costin
221,47.0394680,28.7784873,Strada Nicolae Costin
222,47.0395092,28.7780450,Strada Nicolae Costin
223,47.0396783,28.7775512,Strada Nicolae Costin
224,47.0379589,28.8136869,Strada Mitropolit Dosoftei
225,47.0379699,28.8139672,Strada Mitropolit Dosoftei
226,47.0379262,28.8151800,Strada Mitropolit Dosoftei
227,47.0378388,28.8156150,Strada Mitropolit Dosoftei
228,47.0376774,28.8159059,Strada Mitropolit Dosoftei
229,47.0602105,28.8373356,Strada Doina
230,47.0443632,28.8324194,Strada Petricani
231,47.0352529,28.8207431,Strada Mihai Viteazul
232,47.0380245,28.8103012,Strada Calea Ieșilor
233,47.0415408,28.7971477,Strada 27 Martie 1918
234,47.0339193,28.8451862,
235,47.0338874,28.8460051,Bulevardul Renașterii Naționale
236,47.0342487,28.8465442,Bulevardul Renașterii Naționale
237,47.0273363,28.8473710,Strada Grigore Ureche
238,47.0279343,28.8482933,Strada Cahul
239,47.0287176,28.8499412,Strada Vasile Alecsandri
240,47.0290170,28.8507912,Strada Vasile Alecsandri
241,47.0704078,28.8613248,
242,47.0704733,28.8611200,
243,47.0705518,28.8609098,
244,47.0706614,28.8606855,
245,47.0714250,28.8600336,
246,47.0141283,28.8486822,Strada Ciuflea
247,47.0139287,28.8484980,Bulevardul Constantin Negruzzi
248,47.0251218,28.8167656,Strada Constantin Stere
249,47.0235186,28.8140880,Strada Constantin Stere
250,47.0231408,28.8132910,Strada Constantin Stere
251,47.0229229,28.8127477,Strada Constantin Stere
252,47.0227379,28.8122095,Strada Constantin Stere
253,47.0225963,28.8117121,Strada Constantin Stere
254,47.0224733,28.8112210,Strada Constantin Stere
255,47.0223709,28.8107350,Strada Constantin Stere
256,47.0218625,28.8038265,Strada Grigore Alexandrescu
257,47.0217369,28.8024324,Strada Vasile Lupu
258,47.0217549,28.8020562,Strada Vasile Lupu
259,47.0233140,28.7922333,Strada Vasile Lupu
260,47.0241155,28.7924404,Strada Constituției
261,47.0260843,28.7928949,Strada Constituției
262,47.0267723,28.7930924,Strada Constituției
263,47.0268806,28.7931374,Strada Ion Creangă
264,47.0274471,28.7920892,Strada Alba Iulia
265,47.0276969,28.7915094,Strada Alba Iulia
266,47.0353956,28.7758301,Strada Onisifor Ghibu
267,47.0378621,28.7702337,Strada Alba Iulia
268,47.0384820,28.7695784,Strada Alba Iulia
269,47.0451717,28.7701655,Strada Liviu Deleanu
270,47.0445358,28.7703713,Strada Liviu Deleanu
271,47.0441578,28.7703865,Strada Liviu Deleanu
272,47.0431279,28.7702613,Strada Nicolae Costin
273,47.0431192,28.7704797,Strada Nicolae Costin
274,47.0430672,28.7706537,Strada Nicolae Costin
275,47.0421006,28.7726567,Strada Nicolae Costin
276,47.0416944,28.7734746,Strada Nicolae Costin
277,47.0399845,28.7769220,Strada Nicolae Costin
278,47.0428014,28.8534172,
279,47.0428461,28.8535509,
280,47.0564183,28.8590181,Strada Matei Basarab
281,46.9926651,28.7874834,Șoseaua Hâncești
282,46.9920610,28.7883410,Strada Spicului
283,46.9915636,28.7888153,Șoseaua Hâncești
284,46.9919069,28.7897877,Șoseaua Hâncești
285,46.9921726,28.7905357,Șoseaua Hâncești
286,46.9926191,28.7917883,Șoseaua Hâncești
287,46.9966341,28.8028464,Șoseaua Hâncești
288,46.9966913,28.8039550,Șoseaua Hâncești
289,46.9973732,28.8085235,Strada Costești
290,46.9955054,28.8114254,Strada Miorița
291,46.9952159,28.8119037,Strada Miorița
292,46.9930769,28.8170053,Strada Miorița
293,46.9924313,28.8185907,Strada Miorița
294,46.9920665,28.8192680,Strada Miorița
295,46.9924998,28.8200519,Strada Gheorghe Asachi
296,46.9930217,28.8200099,Strada Gheorghe Asachi
297,46.9943829,28.8200537,Strada Gheorghe Asachi
298,46.9961791,28.8201332,Strada Sprâncenoaia
299,46.9968749,28.8201739,Strada Gheorghe Asachi
300,46.9977823,28.8202164,Strada Gheorghe Asachi
301,46.9983260,28.8203194,Strada Vladimir Korolenko
302,46.9989861,28.8205318,Strada Gheorghe Asachi
303,47.0010728,28.8217854,Strada Gheorghe Asachi
304,47.0064909,28.8261396,Strada Gheorghe Asachi
305,47.0068007,28.8264529,Strada Gheorghe Asachi
306,47.0074373,28.8278338,Strada Pantelimon Halippa
307,47.0227153,28.8602544,Strada Ismail
308,47.0224263,28.8607115,Strada Calea Basarabiei
309,47.0222277,28.8609706,Strada Calea Basarabiei
310,47.0219770,28.8612633,Strada Calea Basarabiei
311,47.0219144,28.8614155,
312,47.0218942,28.8618813,
313,47.0225136,28.8627798,
314,47.0227445,28.8631111,
315,47.0228244,28.8632160,
316,47.0229532,28.8633760,
317,47.0229942,28.8634294,
318,47.0231471,28.8650207,Strada Ismail
319,47.0230857,28.8661146,Strada Uzinelor
320,47.0232036,28.8668197,
321,47.0233522,28.8669083,
322,47.0234152,28.8669145,Strada Uzinelor
323,47.0236498,28.8668195,Strada Uzinelor
324,47.0248382,28.8681309,Strada Vadul lui Vodă
325,47.0251665,28.8685483,Strada Vadul lui Vodă
326,47.0252967,28.8686706,Strada Vadul lui Vodă
327,47.0256854,28.8690364,Strada Vadul lui Vodă
328,47.0258311,28.8692172,Strada Vadul lui Vodă
329,47.0259758,28.8694612,Strada Vadul lui Vodă
330,47.0273931,28.8725656,Strada Vadul lui Vodă
331,47.0289227,28.8768011,Strada Codrul Cosminului
332,47.0291827,28.8779947,Strada Mereni
333,47.0292537,28.8782738,Strada Vadul lui Vodă
334,47.0296524,28.8794314,Strada Vadul lui Vodă
335,47.0070425,28.8261068,Șoseaua Hâncești
336,47.0068901,28.8260835,Piața Pantelimon Halippa
337,47.0068120,28.8261444,Piața Pantelimon Halippa
338,47.0067792,28.8263273,Piața Pantelimon Halippa
339,47.0070414,28.8267981,Strada Pantelimon Halippa
340,47.0071008,28.8268404,Piața Pantelimon Halippa
341,47.0072059,28.8268961,Piața Pantelimon Halippa
342,47.0072811,28.8268997,Piața Pantelimon Halippa
343,47.0073791,28.8265977,Piața Pantelimon Halippa
344,47.0073664,28.8265458,Strada Vasile Alecsandri
345,47.0074005,28.8269751,Strada Vasile Alecsandri
346,47.0539100,28.8727902,Strada Matei Basarab
347,47.0394144,28.8537049,Bulevardul Renașterii Naționale
348,47.0068940,28.8259325,Șoseaua Hâncești
349,47.0067801,28.8257805,Șoseaua Hâncești
350,47.0064998,28.8253050,Șoseaua Hâncești
351,47.0061882,28.8246324,Șoseaua Hâncești
352,47.0050133,28.8217651,Șoseaua Hâncești
353,47.0047214,28.8210488,Șoseaua Hâncești
354,47.0037597,28.8187760,Șoseaua Hâncești
355,47.0030804,28.8174115,Șoseaua Hâncești
356,47.0025104,28.8163071,Șoseaua Hâncești
357,47.0020881,28.8154978,Strada Academiei
358,47.0015850,28.8145300,Șoseaua Hâncești
359,47.0008993,28.8131991,Șoseaua Hâncești
360,47.0002228,28.8119139,Șoseaua Hâncești
361,46.9982566,28.8074084,Șoseaua Hâncești
362,46.9949403,28.7980510,Șoseaua Hâncești
363,46.9948950,28.7977880,Șoseaua Hâncești
364,46.9947680,28.7971200,Șoseaua Hâncești
365,46.9946268,28.7961481,Șoseaua Hâncești
366,46.9945231,28.7954374,Șoseaua Hâncești
367,46.9943160,28.7935280,Șoseaua Hâncești
368,46.9941930,28.7922750,Șoseaua Hâncești
369,46.9940330,28.7915150,Șoseaua Hâncești
370,46.9929653,28.7884273,Șoseaua Hâncești
371,47.0430902,28.8538302,Strada Bogdan-Voievod
372,47.0431329,28.8539112,Strada Bogdan-Voievod
373,47.0432832,28.8545052,Strada Bogdan-Voievod
374,47.0322987,28.8785999,Strada Ginta Latină
375,47.0249396,28.8385051,Strada Vlaicu Pârcălab
376,47.0186898,28.8296651,Strada Alexei Șciusev
377,47.0196632,28.8310295,Strada București
378,47.0206607,28.8323549,Strada 31 August 1989
379,47.0226928,28.8352675,Strada Vlaicu Pârcălab
380,47.0259055,28.8370630,Strada Alexandr Pușkin
381,47.0255988,28.8398219,Strada George Coșbuc
382,47.0271792,28.8414658,Strada Iacob Hîncu
383,47.0278718,28.8421504,Strada George Coșbuc
384,47.0280447,28.8427497,Strada Alexandru Hâjdeu
385,47.0284596,28.8432253,Strada Alexandru Hâjdeu
386,47.0292124,28.8441283,Strada George Coșbuc
387,47.0263737,28.8340548,
388,47.0270331,28.8330808,Strada Mitropolit Dosoftei
389,47.0275261,28.8323455,Stradela Teatrului
390,47.0279759,28.8316747,Strada Tricolorului
391,47.0289016,28.8302641,Strada Mitropolit Dosoftei
392,47.0298375,28.8288640,Strada Mitropolit Dosoftei
393,47.0308905,28.8272917,Strada Serghei Lazo
394,47.0322310,28.8252772,Strada Mitropolit Dosoftei
395,47.0335967,28.8232622,Strada Toma Ciorbă
396,47.0149806,28.8269840,Strada Mihai Eminescu
397,47.0158113,28.8281788,Strada Mihai Eminescu
398,47.0167810,28.8295651,Strada Mihai Eminescu
399,47.0177895,28.8310044,Strada Mihai Eminescu
400,47.0187534,28.8323936,Strada Mihai Eminescu
401,47.0196986,28.8337556,Strada 31 August 1989
402,47.0206905,28.8351379,Strada Mihai Eminescu
403,47.0217750,28.8366584,Strada Mihai Eminescu
404,47.0232270,28.8387703,Strada Mitropolit Varlaam
405,47.0240343,28.8399020,Strada Columna
406,47.0159109,28.8337993,Strada Alexei Șciusev
407,47.0178227,28.8365393,Strada Armenească
408,47.0188194,28.8379443,Strada Veronica Micle
409,47.0198745,28.8394909,Bulevardul Ștefan cel Mare și Sfânt
410,47.0213266,28.8415593,Strada Mitropolit Varlaam
411,47.0221169,28.8427254,Strada Columna
412,47.0230262,28.8440500,Strada Alexandru cel Bun
413,47.0238167,28.8445521,Strada Armenească
414,47.0248250,28.8464927,Strada Cojocarilor
415,47.0126755,28.8331083,Strada Bulgară
416,47.0136477,28.8344702,Strada Bulgară
417,47.0145665,28.8358005,Strada Alexei Șciusev
418,47.0155190,28.8371860,Strada Bulgară
419,47.0199629,28.8436034,Strada Bulgară
420,47.0207644,28.8447154,Strada Bulgară
421,47.0218811,28.8463468,Strada Alexandru cel Bun
422,47.0222261,28.8467732,Strada Bulgară
423,47.0186150,28.8455746,Strada Mitropolit Varlaam
424,47.0222913,28.8401778,Strada Vasile Alecsandri
425,47.0241599,28.8373731,Strada Vlaicu Pârcălab
426,47.0251226,28.8359624,Strada Alexandr Pușkin
427,47.0209697,28.8489867,Strada Tighina
428,47.0201853,28.8478515,Strada Tighina
429,47.0194022,28.8467199,Strada Columna
430,47.0171877,28.8435076,Strada Tighina
431,47.0151418,28.8405609,Strada 31 August 1989
432,47.0141946,28.8391736,Strada Tighina
